time: 0.0294  current fps: 34.014  average fps:  35.141
time: 0.0282  current fps: 35.461  average fps:  35.144
time: 0.0294  current fps: 34.014  average fps:  35.135
time: 0.0282  current fps: 35.461  average fps:  35.137
time: 0.0276  current fps: 36.232  average fps:  35.146
time: 0.0282  current fps: 35.461  average fps:  35.148
time: 0.0282  current fps: 35.461  average fps:  35.151
time: 0.0276  current fps: 36.232  average fps:  35.159
time: 0.0270  current fps: 37.037  average fps:  35.173
time: 0.0282  current fps: 35.461  average fps:  35.175
time: 0.0270  current fps: 37.037  average fps:  35.189
time: 0.0270  current fps: 37.037  average fps:  35.203
time: 0.0276  current fps: 36.232  average fps:  35.210
time: 0.0282  current fps: 35.461  average fps:  35.212
time: 0.0276  current fps: 36.232  average fps:  35.220
time: 0.0288  current fps: 34.722  average fps:  35.216
time: 0.0282  current fps: 35.461  average fps:  35.218
time: 0.0282  current fps: 35.461  average fps:  35.220
time: 0.0282  current fps: 35.461  average fps:  35.221
time: 0.0288  current fps: 34.722  average fps:  35.218
time: 0.0276  current fps: 36.232  average fps:  35.225
time: 0.0276  current fps: 36.232  average fps:  35.232
time: 0.0300  current fps: 33.333  average fps:  35.219
time: 0.0276  current fps: 36.232  average fps:  35.226
time: 0.0300  current fps: 33.333  average fps:  35.213
time: 0.0276  current fps: 36.232  average fps:  35.220
time: 0.0276  current fps: 36.232  average fps:  35.226
time: 0.0276  current fps: 36.232  average fps:  35.233
time: 0.0276  current fps: 36.232  average fps:  35.240
time: 0.0270  current fps: 37.037  average fps:  35.251
time: 0.0264  current fps: 37.879  average fps:  35.269
time: 0.0276  current fps: 36.232  average fps:  35.275
time: 0.0276  current fps: 36.232  average fps:  35.281
time: 0.0282  current fps: 35.461  average fps:  35.282
time: 0.0294  current fps: 34.014  average fps:  35.274
time: 0.0276  current fps: 36.232  average fps:  35.280
time: 0.0282  current fps: 35.461  average fps:  35.281
time: 0.0276  current fps: 36.232  average fps:  35.287
time: 0.0294  current fps: 34.014  average fps:  35.279
time: 0.0276  current fps: 36.232  average fps:  35.285
time: 0.0282  current fps: 35.461  average fps:  35.286
time: 0.0288  current fps: 34.722  average fps:  35.283
time: 0.0270  current fps: 37.037  average fps:  35.293
time: 0.0294  current fps: 34.014  average fps:  35.286
time: 0.0270  current fps: 37.037  average fps:  35.296
time: 0.0294  current fps: 34.014  average fps:  35.288
time: 0.0276  current fps: 36.232  average fps:  35.294
time: 0.0276  current fps: 36.232  average fps:  35.299
time: 0.0270  current fps: 37.037  average fps:  35.310
time: 0.0276  current fps: 36.232  average fps:  35.315
time: 0.0276  current fps: 36.232  average fps:  35.320
time: 0.0288  current fps: 34.722  average fps:  35.317
time: 0.0270  current fps: 37.037  average fps:  35.327
time: 0.0276  current fps: 36.232  average fps:  35.332
time: 0.0294  current fps: 34.014  average fps:  35.324
time: 0.0294  current fps: 34.014  average fps:  35.317
time: 0.0282  current fps: 35.461  average fps:  35.318
time: 0.0282  current fps: 35.461  average fps:  35.319
time: 0.0282  current fps: 35.461  average fps:  35.319
time: 0.0282  current fps: 35.461  average fps:  35.320
time: 0.0288  current fps: 34.722  average fps:  35.317
time: 0.0282  current fps: 35.461  average fps:  35.318
time: 0.0276  current fps: 36.232  average fps:  35.323
time: 0.0282  current fps: 35.461  average fps:  35.323
time: 0.0282  current fps: 35.461  average fps:  35.324
time: 0.0276  current fps: 36.232  average fps:  35.329
time: 0.0276  current fps: 36.232  average fps:  35.334
time: 0.0270  current fps: 37.037  average fps:  35.342
time: 0.0282  current fps: 35.461  average fps:  35.343
time: 0.0276  current fps: 36.232  average fps:  35.348
time: 0.0276  current fps: 36.232  average fps:  35.352
time: 0.0282  current fps: 35.461  average fps:  35.353
time: 0.0276  current fps: 36.232  average fps:  35.357
time: 0.0276  current fps: 36.232  average fps:  35.362
time: 0.0282  current fps: 35.461  average fps:  35.362
time: 0.0288  current fps: 34.722  average fps:  35.359
time: 0.0276  current fps: 36.232  average fps:  35.363
time: 0.0282  current fps: 35.461  average fps:  35.364
time: 0.0276  current fps: 36.232  average fps:  35.368
time: 0.0288  current fps: 34.722  average fps:  35.365
time: 0.0288  current fps: 34.722  average fps:  35.362
time: 0.0270  current fps: 37.037  average fps:  35.370
time: 0.0276  current fps: 36.232  average fps:  35.374
time: 0.0270  current fps: 37.037  average fps:  35.382
time: 0.0258  current fps: 38.760  average fps:  35.398
time: 0.0264  current fps: 37.879  average fps:  35.410
time: 0.0282  current fps: 35.461  average fps:  35.411
time: 0.0270  current fps: 37.037  average fps:  35.418
time: 0.0282  current fps: 35.461  average fps:  35.418
time: 0.0276  current fps: 36.232  average fps:  35.422
time: 0.0300  current fps: 33.333  average fps:  35.413
time: 0.0288  current fps: 34.722  average fps:  35.409
time: 0.0276  current fps: 36.232  average fps:  35.413
time: 0.0282  current fps: 35.461  average fps:  35.413
time: 0.0276  current fps: 36.232  average fps:  35.417
time: 0.0276  current fps: 36.232  average fps:  35.421
time: 0.0276  current fps: 36.232  average fps:  35.425
time: 0.0282  current fps: 35.461  average fps:  35.425
time: 0.0276  current fps: 36.232  average fps:  35.428
time: 0.0276  current fps: 36.232  average fps:  35.432
time: 0.0282  current fps: 35.461  average fps:  35.432
time: 0.0276  current fps: 36.232  average fps:  35.436
time: 0.0282  current fps: 35.461  average fps:  35.436
time: 0.0270  current fps: 37.037  average fps:  35.443
time: 0.0270  current fps: 37.037  average fps:  35.450
time: 0.0276  current fps: 36.232  average fps:  35.453
time: 0.0276  current fps: 36.232  average fps:  35.457
time: 0.0282  current fps: 35.461  average fps:  35.457
time: 0.0276  current fps: 36.232  average fps:  35.460
time: 0.0282  current fps: 35.461  average fps:  35.460
time: 0.0282  current fps: 35.461  average fps:  35.460
time: 0.0270  current fps: 37.037  average fps:  35.467
time: 0.0294  current fps: 34.014  average fps:  35.460
time: 0.0276  current fps: 36.232  average fps:  35.464
time: 0.0288  current fps: 34.722  average fps:  35.461
time: 0.0276  current fps: 36.232  average fps:  35.464
time: 0.0318  current fps: 31.447  average fps:  35.447
time: 0.0288  current fps: 34.722  average fps:  35.444
time: 0.0276  current fps: 36.232  average fps:  35.447
time: 0.0282  current fps: 35.461  average fps:  35.447
time: 0.0294  current fps: 34.014  average fps:  35.442
time: 0.0282  current fps: 35.461  average fps:  35.442
time: 0.0282  current fps: 35.461  average fps:  35.442
time: 0.0282  current fps: 35.461  average fps:  35.442
time: 0.0276  current fps: 36.232  average fps:  35.445
time: 0.0276  current fps: 36.232  average fps:  35.448
time: 0.0294  current fps: 34.014  average fps:  35.442
time: 0.0282  current fps: 35.461  average fps:  35.442
time: 0.0276  current fps: 36.232  average fps:  35.446
time: 0.0276  current fps: 36.232  average fps:  35.449
time: 0.0282  current fps: 35.461  average fps:  35.449
time: 0.0276  current fps: 36.232  average fps:  35.452
time: 0.0276  current fps: 36.232  average fps:  35.455
time: 0.0276  current fps: 36.232  average fps:  35.458
time: 0.0288  current fps: 34.722  average fps:  35.455
time: 0.0282  current fps: 35.461  average fps:  35.455
time: 0.0282  current fps: 35.461  average fps:  35.455
time: 0.0300  current fps: 33.333  average fps:  35.447
time: 0.0300  current fps: 33.333  average fps:  35.439
time: 0.0288  current fps: 34.722  average fps:  35.436
time: 0.0282  current fps: 35.461  average fps:  35.436
time: 0.0282  current fps: 35.461  average fps:  35.436
time: 0.0270  current fps: 37.037  average fps:  35.442
time: 0.0270  current fps: 37.037  average fps:  35.448
time: 0.0282  current fps: 35.461  average fps:  35.448
time: 0.0276  current fps: 36.232  average fps:  35.451
time: 0.0276  current fps: 36.232  average fps:  35.454
time: 0.0282  current fps: 35.461  average fps:  35.454
time: 0.0294  current fps: 34.014  average fps:  35.449
time: 0.0282  current fps: 35.461  average fps:  35.449
time: 0.0294  current fps: 34.014  average fps:  35.444
time: 0.0282  current fps: 35.461  average fps:  35.444
time: 0.0276  current fps: 36.232  average fps:  35.447
time: 0.0270  current fps: 37.037  average fps:  35.452
time: 0.0282  current fps: 35.461  average fps:  35.452
time: 0.0276  current fps: 36.232  average fps:  35.455
time: 0.0282  current fps: 35.461  average fps:  35.455
time: 0.0276  current fps: 36.232  average fps:  35.458
time: 0.0282  current fps: 35.461  average fps:  35.458
time: 0.0294  current fps: 34.014  average fps:  35.453
time: 0.0276  current fps: 36.232  average fps:  35.456
time: 0.0294  current fps: 34.014  average fps:  35.451
time: 0.0282  current fps: 35.461  average fps:  35.451
time: 0.0306  current fps: 32.680  average fps:  35.441
time: 0.0270  current fps: 37.037  average fps:  35.446
time: 0.0282  current fps: 35.461  average fps:  35.447
time: 0.0276  current fps: 36.232  average fps:  35.449
time: 0.0288  current fps: 34.722  average fps:  35.447
time: 0.0282  current fps: 35.461  average fps:  35.447
time: 0.0276  current fps: 36.232  average fps:  35.449
time: 0.0282  current fps: 35.461  average fps:  35.450
time: 0.0294  current fps: 34.014  average fps:  35.445
time: 0.0276  current fps: 36.232  average fps:  35.447
time: 0.0276  current fps: 36.232  average fps:  35.450
time: 0.0276  current fps: 36.232  average fps:  35.453
time: 0.0282  current fps: 35.461  average fps:  35.453
time: 0.0282  current fps: 35.461  average fps:  35.453
time: 0.0270  current fps: 37.037  average fps:  35.458
